Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Oliver McBurnie,sct SCO,FW,27.0,15,1280.0,14.2,6.0,3.0,4.0,2.0,2.0,7.0,2.0,6.9,5.3,2.0,6.0,30.0,60.0,0.42,0.21,0.28,0.49,0.48,0.14,0.62,0.37,SheffieldUnited,66,43,195.9,377.4,501.0,9,225,107.5,1,0.1,54,FWD
Ben Osborn,eng ENG,"DF,MF",28.0,14,1367.0,15.2,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.9,16.0,55.0,44.0,0.0,0.13,0.0,0.13,0.01,0.06,0.07,0.01,SheffieldUnited,38,40,212.2,191.4,26.0,0,182,42.8,0,0.0,48,MID
Ben Brereton,cl CHI,"FW,MF",24.0,14,1105.0,12.3,6.0,1.0,5.0,1.0,1.0,3.0,0.0,6.1,5.3,1.5,23.0,37.0,78.0,0.49,0.08,0.41,0.49,0.49,0.12,0.61,0.43,SheffieldUnited,62,37,124.0,312.2,422.0,5,173,85.3,0,0.2,50,MID
Andre Brooks,eng ENG,"MF,DF",19.0,12,938.0,10.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.1,12.0,18.0,22.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,SheffieldUnited,26,29,51.9,88.6,76.0,0,82,21.8,1,0.0,44,MID
George Baldock,gr GRE,DF,30.0,11,969.0,10.8,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.8,9.0,31.0,24.0,0.0,0.09,0.0,0.09,0.0,0.07,0.08,0.0,SheffieldUnited,21,21,102.6,173.6,21.0,2,117,29.6,0,4.0,38,DEF
Oliver Arblaster,eng ENG,MF,19.0,11,943.0,10.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.7,13.0,43.0,4.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,SheffieldUnited,19,28,140.5,155.4,23.0,0,131,32.0,0,0.0,45,MID
Luke Thomas,eng ENG,DF,22.0,11,917.0,10.2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.5,0.1,8.0,33.0,22.0,0.0,0.0,0.0,0.0,0.05,0.0,0.06,0.05,SheffieldUnited,7,29,53.9,127.8,64.0,0,80,24.7,0,0.0,40,DEF
William Osula,dk DEN,FW,19.0,9,786.0,8.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.6,1.6,0.1,7.0,2.0,41.0,0.0,0.0,0.0,0.0,0.19,0.01,0.2,0.19,SheffieldUnited,25,23,24.9,27.0,200.0,0,27,24.4,0,0.8,42,FWD
Mason Holgate,eng ENG,DF,26.0,9,710.0,7.9,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.6,0.6,0.4,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.13,0.08,SheffieldUnited,1,27,22.7,117.8,19.0,0,69,15.9,0,0.4,40,DEF
Yasser Larouci,dz ALG,DF,22.0,6,531.0,5.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,18.0,14.0,12.0,0.0,0.0,0.0,0.0,0.04,0.05,0.09,0.04,SheffieldUnited,10,11,27.8,80.8,39.0,0,63,14.8,0,0.0,43,DEF
John Egan,ie IRL,DF,30.0,6,482.0,5.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,SheffieldUnited,1,17,1.4,91.2,38.0,0,54,13.1,0,0.1,42,DEF
Max Lowe,eng ENG,"DF,MF",26.0,4,503.0,5.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.7,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.1,0.13,0.23,0.1,SheffieldUnited,13,12,31.9,102.2,18.0,0,47,15.2,0,0.0,43,DEF
Rhian Brewster,eng ENG,"FW,MF",23.0,3,346.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.1,1.0,3.0,21.0,0.0,0.0,0.0,0.0,0.09,0.03,0.12,0.09,SheffieldUnited,11,8,28.3,21.0,85.0,0,14,13.3,0,0.0,49,FWD
Chris Basham,eng ENG,"DF,MF",35.0,3,321.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.04,0.07,0.1,0.04,SheffieldUnited,8,6,27.4,69.2,14.0,0,35,11.1,0,0.3,39,DEF
Tom Davies,eng ENG,MF,25.0,2,221.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.1,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.14,0.03,0.17,0.14,SheffieldUnited,7,11,18.1,26.4,48.0,0,11,9.4,0,0.0,50,MID
Rhys Norrington-Davies,wls WAL,DF,24.0,2,110.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,SheffieldUnited,2,6,11.7,8.2,2.0,0,12,2.0,0,0.1,39,DEF
John Fleck,sct SCO,"MF,DF",31.0,1,92.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.44,0.0,SheffieldUnited,3,5,26.0,5.4,2.0,0,13,3.3,0,0.0,49,MID
Sam Curtis,ie IRL,DF,17.0,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,1,0,0.3,2.2,0.0,0,2,0.3,0,0.0,40,DEF
Daniel Jebbison,eng ENG,FW,19.0,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,1,0,0.1,0.0,4.0,0,3,0.4,0,0.0,48,FWD
Antwoine Hackford,eng ENG,FW,19.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,2,1,0.3,0.0,0.0,0,5,0.0,0,0.1,44,FWD
Sydie Peck,eng ENG,MF,18.0,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,1,0,0.1,0.0,0.0,0,3,0.0,0,0.0,44,MID
Jordan Amissah,gh GHA,GK,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.3,39,GK
Billy Blacker,eng ENG,FW,17.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,FWD
Jili Buyabu,eng ENG,MF,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Adam Davies,wls WAL,GK,31.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.2,40,GK
Owen Hampson,eng ENG,MF,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,MID
Louie Marsh,eng ENG,FW,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,45,FWD
Dovydas Sasnauskas,0,DF,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,40,DEF
Femi Seriki,eng ENG,DF,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SheffieldUnited,0,0,0.0,0.0,0.0,0,0,0.0,0,0.1,39,DEF
