Player,Nation,Pos,Age,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,Team,total_points,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,selected_by_percent,now_cost,element_type
Aaron Hickey,sct SCO,DF,21.0,9,713.0,7.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.1,9.0,21.0,13.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,Brentford,17,12,28.4,66.6,37.0,0,87,12.9,2,0.1,43,DEF
Mikkel Damsgaard,dk DEN,MF,23.0,7,842.0,9.4,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.9,0.9,1.4,16.0,61.0,32.0,0.0,0.21,0.0,0.21,0.1,0.16,0.25,0.1,Brentford,45,9,179.1,162.6,103.0,0,155,44.7,5,0.0,48,MID
Saman Ghoddos,ir IRN,DF,29.0,7,739.0,8.2,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.3,0.3,1.1,22.0,36.0,31.0,0.12,0.0,0.12,0.12,0.04,0.13,0.17,0.04,Brentford,26,20,163.8,139.8,45.0,0,127,35.1,0,0.0,45,MID
Rico Henry,eng ENG,DF,26.0,5,401.0,4.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.0,13.0,20.0,12.0,0.0,0.22,0.0,0.22,0.02,0.22,0.24,0.02,Brentford,13,5,67.9,72.8,17.0,0,74,15.7,1,0.8,42,DEF
Kevin Schade,de GER,"FW,MF",21.0,3,333.0,3.7,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.2,1.2,0.7,8.0,9.0,23.0,0.54,0.27,0.54,0.81,0.32,0.19,0.52,0.32,Brentford,33,5,58.3,105.8,100.0,2,81,26.2,1,0.1,52,MID
Shandon Baptiste,gd GRN,MF,25.0,2,229.0,2.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.2,3.0,5.0,1.0,0.39,0.39,0.39,0.79,0.35,0.08,0.43,0.35,Brentford,19,5,54.8,92.4,60.0,0,83,20.6,0,0.7,43,MID
Thomas Strakosha,al ALB,GK,28.0,1,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,4,2,0.0,42.8,0.0,0,24,4.3,0,1.2,39,GK
Michael Olakigbe,eng ENG,"DF,FW",19.0,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,10.0,4.0,17.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,Brentford,8,0,4.1,4.8,27.0,0,14,3.5,0,0.0,45,MID
Josh Dasilva,eng ENG,"DF,FW",24.0,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72,0.0,Brentford,3,0,15.4,6.8,14.0,0,6,3.6,0,0.0,47,MID
Myles Peart-Harris,eng ENG,"DF,MF",20.0,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,Brentford,3,0,10.9,2.2,2.0,0,6,1.5,0,0.0,45,MID
